nodeID nodeLabel nodeLong nodeLat
1 node_1 -43.4367705 -22.8699424
2 node_2 -43.3600085 -22.8924891
3 node_3 -43.6027837 -22.9168466
4 node_4 -43.5998953 -22.917062
5 node_5 -43.6000526 -22.9167451
6 node_6 -43.3223463 -22.8883438
7 node_7 -43.3828128 -22.9565833
8 node_8 -43.2080293 -22.8988537
9 node_9 -43.5997304 -22.9173158
10 node_10 -43.6051649 -22.9174024
11 node_11 -43.3945156 -22.8373663
12 node_12 -43.4662627 -22.8464168
13 node_13 -43.3842374 -22.8455233
14 node_14 -43.3769785 -22.9582631
15 node_15 -43.6063677 -22.9176347
16 node_16 -43.5995702 -22.9176097
17 node_17 -43.2085036 -22.8989142
18 node_18 -43.2954002 -22.8415292
19 node_19 -43.2079005 -22.8989266
20 node_20 -43.3837709 -22.8454981
21 node_21 -43.6035844 -22.917715
22 node_22 -43.4674918 -22.8437122
23 node_23 -43.240059 -22.931904
24 node_24 -43.4045616 -22.9402361
25 node_25 -43.5994301 -22.917915
26 node_26 -43.2079316 -22.8991764
27 node_27 -43.4037674 -22.9393088
28 node_28 -43.5998744 -22.9183461
29 node_29 -43.6002284 -22.9184264
30 node_30 -43.404806 -22.9379709
31 node_31 -43.6722375 -22.9811212
32 node_32 -43.2960394 -22.8406616
33 node_33 -43.4057773 -22.9381432
34 node_34 -43.6711041 -22.981627
35 node_35 -43.3649032 -22.9998487
36 node_36 -43.6006209 -22.918537
37 node_37 -43.218572 -22.8976597
38 node_38 -43.6597366 -22.9906392
39 node_39 -43.6009785 -22.9186137
40 node_40 -43.671553 -22.9814217
41 node_41 -43.2979678 -22.9874279
42 node_42 -43.6013194 -22.9186867
43 node_43 -43.602543 -22.9187152
44 node_44 -43.3635054 -23.0008986
45 node_45 -43.6016559 -22.9187588
46 node_46 -43.325518 -22.8766424
47 node_47 -43.3973986 -22.8445082
48 node_48 -43.5429453 -22.8978253
49 node_49 -43.2997397 -22.9874813
50 node_50 -43.408351 -22.944247
51 node_51 -43.2987346 -22.9869491
52 node_52 -43.2992732 -22.9865914
53 node_53 -43.6019968 -22.9188319
54 node_54 -43.2077689 -22.8984692
55 node_55 -43.6036461 -22.9184511
56 node_56 -43.2078213 -22.8984713
57 node_57 -43.364237 -22.9999191
58 node_58 -43.3780459 -22.91626
59 node_59 -43.3669762 -22.9998935
60 node_60 -43.3685623 -22.82847
61 node_61 -43.3754122 -22.9194971
62 node_62 -43.3807334 -22.9144785
63 node_63 -43.209527 -22.8985331
64 node_64 -43.5999191 -22.918992
65 node_65 -43.376478 -22.9201058
66 node_66 -43.6051708 -22.919128
67 node_67 -43.3675299 -23.0014557
68 node_68 -43.3645274 -23.0013828
69 node_69 -43.2700794 -22.8806262
70 node_70 -43.4126925 -22.8389254
71 node_71 -43.3739466 -22.9250036
72 node_72 -43.6007535 -22.9194532
73 node_73 -43.3657447 -23.0014188
74 node_74 -43.3737484 -22.9250895
75 node_75 -43.373679 -22.9252139
76 node_76 -43.3657458 -22.9997837
77 node_77 -43.2463899 -22.8712412
78 node_78 -43.3741448 -22.9212154
79 node_79 -43.3770221 -22.919178
80 node_80 -43.4686081 -22.8441657
81 node_81 -43.3753935 -22.9219246
82 node_82 -43.3735864 -22.9271104
83 node_83 -43.3736424 -22.92712
84 node_84 -43.3591386 -22.9693367
85 node_85 -43.3737152 -22.9272012
86 node_86 -43.6026453 -22.917617
87 node_87 -43.4368522 -23.0054613
88 node_88 -43.212179 -22.9143653
89 node_89 -43.3805629 -22.9148516
90 node_90 -43.3599825 -22.9701696
91 node_91 -43.4359027 -23.0048663
92 node_92 -43.3809164 -22.914722
93 node_93 -43.3804695 -22.9146758
94 node_94 -43.3322993 -22.8632619
95 node_95 -43.2159666 -22.9002334
96 node_96 -43.4358133 -23.0050006
97 node_97 -43.2096857 -22.9003825
98 node_98 -43.2961824 -22.8778011
99 node_99 -43.5833948 -22.9104746
100 node_100 -43.2175054 -22.9004072
101 node_101 -43.5833992 -22.9105511
102 node_102 -43.3621129 -22.971665
103 node_103 -43.2061981 -22.9423914
104 node_104 -43.4073165 -22.8762103
105 node_105 -43.5971476 -22.9107528
106 node_106 -43.5835965 -22.9107558
107 node_107 -43.2079158 -22.9008027
108 node_108 -43.5834209 -22.9107793
109 node_109 -43.6012732 -22.9207973
110 node_110 -43.6009325 -22.9208299
111 node_111 -43.4359985 -23.0049563
112 node_112 -43.4357865 -23.0051165
113 node_113 -43.4082931 -22.8793694
114 node_114 -43.3427309 -23.0000601
115 node_115 -43.5799128 -22.9111506
116 node_116 -43.5797368 -22.9111672
117 node_117 -43.4072283 -22.8343685
118 node_118 -43.3796575 -22.9731616
119 node_119 -43.5971457 -22.9115057
